
fitting (k,m) = (0,1) and (-2,-1) to the observed g-modes of KIC03228863:

Iteration 1    frot = 1.3650000000000002 +/- 0.0033333333333332624; Pi0 = 4400.0 +/- 33.333333333333336

    pattern 1:    min n = 27; max n = 59; range: 32

    pattern 2:    min n = 18; max n = 24; range: 6


Iteration 2    frot = 1.3716666666666668 +/- 0.004444444444444399; Pi0 = 4466.666666666667 +/- 44.44444444444434

    pattern 1:    min n = 27; max n = 59; range: 32

    pattern 2:    min n = 17; max n = 23; range: 6


Iteration 3    frot = 1.3694444444444447 +/- 0.002962962962962982; Pi0 = 4466.666666666667 +/- 44.44444444444434

    pattern 1:    min n = 27; max n = 59; range: 32

    pattern 2:    min n = 17; max n = 23; range: 6


Iteration 4    frot = 1.3679629629629633 +/- 0.0034567901234567877; Pi0 = 4437.037037037037 +/- 39.506172839506085

    pattern 1:    min n = 27; max n = 59; range: 32

    pattern 2:    min n = 18; max n = 24; range: 6


Iteration 5    frot = 1.3694594089038536 +/- 0.0033254354242008657; Pi0 = 4456.790123456791 +/- 39.506172839506384

    pattern 1:    min n = 27; max n = 59; range: 32

    pattern 2:    min n = 17; max n = 23; range: 6


Iteration 6    frot = 1.3688009726898618 +/- 0.003072702331961663; Pi0 = 4450.139252608389 +/- 39.90522509041026

    pattern 1:    min n = 27; max n = 59; range: 32

    pattern 2:    min n = 17; max n = 23; range: 6


Iteration 7    frot = 1.3690226683848086 +/- 0.003251536859218603; Pi0 = 4450.139252608389 +/- 40.96936442615455

    pattern 1:    min n = 27; max n = 59; range: 32

    pattern 2:    min n = 17; max n = 23; range: 6


Iteration 8    frot = 1.368730030067479 +/- 0.0032190214906263983; Pi0 = 4447.1833100091 +/- 43.35382478958157

    pattern 1:    min n = 27; max n = 59; range: 32

    pattern 2:    min n = 17; max n = 23; range: 6


Iteration 9    frot = 1.3688285614874554 +/- 0.003218693052559877; Pi0 = 4449.153938408626 +/- 43.35382478958157

    pattern 1:    min n = 27; max n = 59; range: 32

    pattern 2:    min n = 17; max n = 23; range: 6

chi2_red = 310.7317056248837
f_rot: 1.3688285614874554 +/- 0.003218693052559877 c/d
Pi0: 4449.153938408626 +/- 43.35382478958157 s

